TIEMPO,ADC,DAC
0.546,1.809,2.012
0.547,1.79,1.374
0.548,1.609,1.841
0.549,1.716,1.625
0.55,1.661,1.674
0.551,1.7,1.796
0.552,1.854,2.125
0.553,2.012,1.99
0.554,1.858,1.454
0.555,1.667,1.845
0.556,1.809,1.916
0.557,1.77,1.47
0.558,1.503,1.274
0.559,1.532,2.025
0.56,1.893,2.064
0.561,1.783,1.161
0.562,1.383,1.345
0.563,1.49,1.883
0.564,1.816,2.058
0.565,2.003,2.106
0.566,2.009,1.838
0.567,1.835,1.651
0.568,1.612,1.312
0.569,1.516,1.783
0.57,1.616,1.438
0.571,1.583,1.803
0.572,1.809,2.074
0.573,1.922,1.78
0.574,1.683,1.251
0.575,1.506,1.783
0.576,1.735,1.922
0.577,1.787,1.593
0.578,1.732,1.893
0.579,1.654,1.174
0.58,1.561,2.145
0.581,1.9,1.851
0.582,1.929,2.096
0.583,1.861,1.38
0.584,1.612,1.761
0.585,1.687,1.687
0.586,1.79,2.083
0.587,1.98,2.006
0.588,1.864,1.483
0.589,1.529,1.241
0.59,1.525,2.045
0.591,1.706,1.316
0.592,1.454,1.419
0.593,1.419,1.396
0.594,1.39,1.358
0.595,1.474,1.783
0.596,1.716,1.867
0.597,1.864,2.019
0.598,1.993,2.096
0.599,1.996,1.832
0.6,1.816,1.587
0.601,1.574,1.29
0.602,1.541,1.97
0.603,1.651,1.216
0.604,1.345,1.277
0.605,1.335,1.432
0.606,1.409,1.47
0.607,1.612,2.09
0.608,1.916,1.938
0.609,1.848,1.606
0.61,1.716,1.78
0.611,1.709,1.587
0.612,1.516,1.174
0.613,1.396,1.677
0.614,1.467,1.193
0.615,1.261,1.17
0.616,1.412,2.022
0.617,1.732,1.57
0.618,1.745,2.067
0.619,1.909,1.816
0.62,1.725,1.364
0.621,1.48,1.425
0.622,1.522,1.761
0.623,1.687,1.751
0.624,1.793,1.987
0.625,1.861,1.703
0.626,1.622,1.229
0.627,1.561,2.099
0.628,1.767,1.409
0.629,1.67,2.019
0.63,1.796,1.551
0.631,1.635,1.603
0.632,1.554,1.393
0.633,1.464,1.506
0.634,1.483,1.474
0.635,1.625,2.061
0.636,1.825,1.635
0.637,1.777,1.964
0.638,1.793,1.525
0.639,1.583,1.454
0.64,1.664,2.145
0.641,1.932,1.851
0.642,1.799,1.548
0.643,1.596,1.47
0.644,1.558,1.693
0.645,1.706,1.896
0.646,1.735,1.477
0.647,1.487,1.238
0.648,1.287,1.167
0.649,1.448,2.132
0.65,1.79,1.564
0.651,1.532,1.193
0.652,1.416,1.693
0.653,1.545,1.441
0.654,1.454,1.377
0.655,1.406,1.412
0.656,1.48,1.693
0.657,1.625,1.68
0.658,1.645,1.606
0.659,1.58,1.477
0.66,1.477,1.374
0.661,1.516,1.822
0.662,1.635,1.412
0.663,1.629,2.025
0.664,1.812,1.648
0.665,1.683,1.603
0.666,1.664,1.77
0.667,1.609,1.274
0.668,1.496,1.783
0.669,1.738,1.935
0.67,1.745,1.416
0.671,1.551,1.587
0.672,1.616,1.751
0.673,1.709,1.748
0.674,1.68,1.522
0.675,1.532,1.393
